Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Providence,Weekly,04/01/2021 00:00,Conventional,1.371328321,75632.89,2515.17,45827.29,15.95,17220.26,13767.94,3379.55,0,10054.22
Raleigh/Greensboro,Weekly,04/01/2021 00:00,Conventional,0.935230025,493310.41,197659.02,80901.95,4258.07,182094.41,132819.91,17227.61,182.7,28396.96
Richmond/Norfolk,Weekly,04/01/2021 00:00,Conventional,0.919895738,341418.61,103356.09,71228.13,907.17,81838.06,52917.9,111.96,11403.96,84089.16
Roanoke,Weekly,04/01/2021 00:00,Conventional,0.825133392,206936.66,66026.79,30421.04,40.58,43360.72,27998.96,4227.96,4378.39,67087.53
Sacramento,Weekly,04/01/2021 00:00,Conventional,1.016587539,586351.78,156627.51,231859.44,5628.47,95252.88,93951.47,985.56,0,96983.48
San Diego,Weekly,04/01/2021 00:00,Conventional,0.967494964,627265,114429.33,34766.51,22946.44,96059.01,84712.89,6709.5,4139.98,359063.71
San Francisco,Weekly,04/01/2021 00:00,Conventional,1.231064142,929856.91,261890.33,190107.26,9669.63,139821.83,139023.88,612.94,0,328367.85
Seattle,Weekly,04/01/2021 00:00,Conventional,1.045812371,727908.15,80658.03,160889.06,292.22,71303.3,64168.8,5056.8,1089.3,414765.54
South Carolina,Weekly,04/01/2021 00:00,Conventional,0.841921966,566934.96,233586.35,57096.8,1390.62,163549.46,128998.07,20797.35,784.85,111311.72
Spokane,Weekly,04/01/2021 00:00,Conventional,0.880219949,102105.15,18703.11,21553.1,26.6,13509.33,11021.34,2299.63,65.26,48313.01
St. Louis,Weekly,04/01/2021 00:00,Conventional,0.77189368,260282.81,126383.81,11806.46,42.5,64029.38,57324.35,6353.94,0,58020.66
Syracuse,Weekly,04/01/2021 00:00,Conventional,1.125238864,96019.57,10394.61,47725.88,707.64,33756.9,30907.28,2642.85,0,3434.55
Tampa,Weekly,04/01/2021 00:00,Conventional,0.743520003,646137.76,258312.56,29575.77,12.61,181338.38,162385.6,765.71,17895.15,176898.44
Toledo,Weekly,04/01/2021 00:00,Conventional,0.777138736,170528.35,27093.78,35128.92,18452.77,25310.31,20967.68,1281.53,2708.04,64542.58
West Tex/New Mexico,Weekly,04/01/2021 00:00,Conventional,0.617190119,994342.09,307507.02,205591.04,20367.81,267345.8,227726.08,7792.16,31290.72,193530.43
Wichita,Weekly,04/01/2021 00:00,Conventional,0.706417134,124088.68,30657.29,6300.59,10.92,31240.94,26379.68,2889.47,1257.42,55878.94
California,Weekly,04/01/2021 00:00,Conventional,0.991030549,7261522.15,2011888.77,811603.22,269542.45,1168833.06,1063119.07,36473.59,42535.36,2999654.65
Great Lakes,Weekly,04/01/2021 00:00,Conventional,0.863859431,4767200.53,733876.45,1065056.49,450674.37,874548.76,780579.11,29880.02,57567.54,1643044.46
Midsouth,Weekly,04/01/2021 00:00,Conventional,0.91054891,4336569.06,1396050.13,771079.52,16438.82,1387271.24,1098269.69,91810.43,54601.8,765729.36
Northeast,Weekly,04/01/2021 00:00,Conventional,1.059885724,5841773.93,492276.14,3207514.64,7181.81,1762620.14,1658935.14,87036.73,11983.13,372181.2
Plains,Weekly,04/01/2021 00:00,Conventional,0.785545678,2371391.81,690005.8,788953.19,1405.99,559893.79,462143.15,41676.91,44420.12,331133.04
South Central,Weekly,04/01/2021 00:00,Conventional,0.6193928,6636434.6,2712266.15,1162292.76,163523.72,1491236.83,1279141.89,103213.95,101861.02,1107115.14
Southeast,Weekly,04/01/2021 00:00,Conventional,0.769493386,5670398.93,2436409.73,306664.15,2344.43,1508427.19,1308786.55,105673.05,72003.78,1416553.43
West,Weekly,04/01/2021 00:00,Conventional,0.7905318,8503509.75,1768308.32,1302797.27,36253.34,1335466.97,1060229.46,64432.14,113399.67,4060683.85
Total U.S.,Weekly,04/01/2021 00:00,Conventional,0.848532623,45388800.75,12241081.49,9415961.22,947364.93,10088297.98,8711204.06,560196.82,498372.41,12696095.12
Albany,Weekly,04/01/2021 00:00,Organic,1.611081563,2726.21,57.84,391.37,10.21,2117.76,2049.18,0,0,149.03
Atlanta,Weekly,04/01/2021 00:00,Organic,1.358807493,31182.76,81.84,3103.74,0,11952.26,11952.26,0,0,16044.93
Baltimore/Washington,Weekly,04/01/2021 00:00,Organic,1.321226904,70010.93,582.56,3440,0,63143.03,62531.44,0,6.3,2845.34
Birmingham/Montgomery,Weekly,04/01/2021 00:00,Organic,1.15643868,10587.92,27.75,192.96,0,9580.48,8750.49,830,0,786.73
Boise,Weekly,04/01/2021 00:00,Organic,1.618928178,6168.82,4.57,1013.99,0,1711.5,1711.5,0,0,3438.76
Boston,Weekly,04/01/2021 00:00,Organic,1.744718951,29356.74,67.84,3467.76,0,24877.07,24793.13,0,0,944.07
Buffalo/Rochester,Weekly,04/01/2021 00:00,Organic,1.510175604,11888.39,826.08,133.58,5.57,10923.16,10923.16,0,0,0
Charlotte,Weekly,04/01/2021 00:00,Organic,1.407511025,20403.92,98.93,3826.03,19.28,8142.02,8142.02,0,0,8317.67
Chicago,Weekly,04/01/2021 00:00,Organic,1.853303253,41476.1,482.59,2923.76,0,17347.53,17087.13,235.2,25.2,20722.23
Cincinnati/Dayton,Weekly,04/01/2021 00:00,Organic,1.437804687,14369.56,362.52,2388.78,0,2397.97,2130.22,267.75,0,9220.29
Columbus,Weekly,04/01/2021 00:00,Organic,1.445072838,9147.54,550.43,1002.89,0,2443.31,2197.72,245.59,0,5150.91
Dallas/Ft. Worth,Weekly,04/01/2021 00:00,Organic,1.369960118,42177.31,4010.78,80.1,240.29,25757.86,25757.86,0,0,12088.29
Denver,Weekly,04/01/2021 00:00,Organic,1.327991174,39697.08,3864.64,905.81,0,11222.93,11222.93,0,0,23703.7
Detroit,Weekly,04/01/2021 00:00,Organic,1.17832175,21800.31,270.69,2072.57,0,13910.1,13856.61,50.35,3.15,5546.95
Grand Rapids,Weekly,04/01/2021 00:00,Organic,1.309964355,5338.65,51.15,1828.49,0,3459.01,3301.7,154.16,3.15,0
Harrisburg/Scranton,Weekly,04/01/2021 00:00,Organic,1.272433591,18160.05,381.7,419.76,0,17353.87,16918.33,0,9.45,4.72
Hartford/Springfield,Weekly,04/01/2021 00:00,Organic,1.439812404,21923.44,328.06,13193.1,0,8379.94,7925.3,0,0,22.34
Houston,Weekly,04/01/2021 00:00,Organic,1.414764151,14296.56,5711.98,12.18,0,2649.81,2649.81,0,0,5922.6
Indianapolis,Weekly,04/01/2021 00:00,Organic,1.328730429,7550.65,129.23,775.63,0,3666.18,3050.1,616.08,0,2979.62
Jacksonville,Weekly,04/01/2021 00:00,Organic,1.060717542,11909.16,39.48,270.69,2.11,11563.84,11563.84,0,0,33.04
Las Vegas,Weekly,04/01/2021 00:00,Organic,1.460813565,14143.53,520.66,314.07,0,5871.73,5871.73,0,0,7437.06
Los Angeles,Weekly,04/01/2021 00:00,Organic,1.476357591,133460.72,6730.32,2941.21,5.6,42370.78,41081.38,1289.4,0,81412.8
Louisville,Weekly,04/01/2021 00:00,Organic,1.426875862,5234.38,18.18,726.92,0,1082.4,958.21,124.19,0,3406.88
