Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
San Diego,Weekly,31/01/2021 00:00,Conventional,1.024301437,591604.05,98068.93,35682.01,9763.96,100369.12,89166.02,6662.25,3978.04,347720.03
San Francisco,Weekly,31/01/2021 00:00,Conventional,1.562676916,755834.69,134641.06,149223.77,4629.73,191684.54,168480.99,53.55,0,275655.58
Seattle,Weekly,31/01/2021 00:00,Conventional,1.344762549,570490.39,83415.18,53782.75,252.75,71271.73,61548.23,5230.58,2885.93,361767.98
South Carolina,Weekly,31/01/2021 00:00,Conventional,0.946255707,571309.99,247721.24,48448.16,1515.06,161530.54,125794.22,21108.02,951.73,112094.99
Spokane,Weekly,31/01/2021 00:00,Conventional,1.10099419,80841.31,19120.04,8366.23,6.99,13886.51,11740.68,1973.48,0,39461.54
St. Louis,Weekly,31/01/2021 00:00,Conventional,0.943206393,230600.36,93183.33,11390.18,30.66,72825.61,65414.9,7210.35,0,53170.58
Syracuse,Weekly,31/01/2021 00:00,Conventional,1.01767845,99689.27,7929.74,41507.44,506.02,44820.51,43287.02,1386,0,4925.55
Tampa,Weekly,31/01/2021 00:00,Conventional,0.842937786,738751,304263.9,20066.4,18.9,203669.17,182804.64,9.45,20575.8,210732.63
Toledo,Weekly,31/01/2021 00:00,Conventional,0.950420953,143332.15,26341.44,27273.27,6202.46,28667.36,23072.39,1017.06,3964.97,54847.63
West Tex/New Mexico,Weekly,31/01/2021 00:00,Conventional,0.702803652,1077570.84,331514.4,128099.92,10374.29,348038.73,296679.33,4546.41,46074.94,259543.49
Wichita,Weekly,31/01/2021 00:00,Conventional,0.726586565,118586.94,27920.9,6770.24,2.18,38043.58,33625.61,2579.85,1396.35,45850.03
California,Weekly,31/01/2021 00:00,Conventional,1.193617315,6320461.03,1413841.93,613557.82,121920.4,1387312.16,1201197.11,35812.35,59986.75,2783828.73
Great Lakes,Weekly,31/01/2021 00:00,Conventional,1.066378557,4078760.76,747321.84,764628.23,190785.27,930762.17,817903.9,24047.88,79119.66,1445263.25
Midsouth,Weekly,31/01/2021 00:00,Conventional,0.977609287,4532997.18,1441680.26,830628.29,16869.56,1476373.65,1210710.92,76736.58,57198.59,767445.42
Northeast,Weekly,31/01/2021 00:00,Conventional,1.052122452,6552456.01,520042.59,3422303.8,6515.75,2181306.54,2080977.03,83882.18,12269.25,422287.32
Plains,Weekly,31/01/2021 00:00,Conventional,0.947362538,2110768.72,626503.96,483496.36,1451.66,669632.44,553341.61,45538.31,53033.25,329684.29
South Central,Weekly,31/01/2021 00:00,Conventional,0.701977139,6749012.07,2711449.01,849783.89,94375.28,1704978,1455251.22,98400.49,141982.04,1388425.9
Southeast,Weekly,31/01/2021 00:00,Conventional,0.86456942,6420809.12,2848489.44,249917.16,2499.56,1705132.51,1492566.67,96428.72,92909.89,1614770.44
West,Weekly,31/01/2021 00:00,Conventional,0.880769133,8116905.17,1731934.31,876015.33,23445.67,1540444.36,1219311.68,85307.68,129488.17,3945065.49
Total U.S.,Weekly,31/01/2021 00:00,Conventional,0.950419087,44882170.05,12041263.33,8090330.89,457863.16,11595941.83,10031260.14,546154.19,625987.6,12696770.84
Albany,Weekly,31/01/2021 00:00,Organic,1.369692377,5813.35,104.86,380.71,0,5153.58,5015.41,0,0,174.19
Atlanta,Weekly,31/01/2021 00:00,Organic,1.509609445,34241.64,46.63,2819.07,0,13166.7,13166.7,0,0,18209.24
Baltimore/Washington,Weekly,31/01/2021 00:00,Organic,1.257124236,87495.7,463.05,3537.08,11.51,80207.53,80127.95,0,0,3276.53
Birmingham/Montgomery,Weekly,31/01/2021 00:00,Organic,1.215549903,10338.1,33.87,186.98,0,9342.74,8659.36,683.38,0,774.5
Boise,Weekly,31/01/2021 00:00,Organic,1.734220939,5730.5,11.29,814.13,0,1633.8,1633.8,0,0,3271.28
Boston,Weekly,31/01/2021 00:00,Organic,1.796316483,39105.96,62.85,2373.16,0,35313.91,35267.01,0,0,1356.04
Buffalo/Rochester,Weekly,31/01/2021 00:00,Organic,1.526665749,15869.93,821.81,132.33,2.22,14913.57,14913.57,0,0,0
Charlotte,Weekly,31/01/2021 00:00,Organic,1.414975941,19428.76,105.55,3248.2,29.96,8668.26,8668.26,0,0,7376.79
Chicago,Weekly,31/01/2021 00:00,Organic,1.476216193,69263.01,626.05,5981.29,0,35025.04,34689.04,336,0,27630.63
Cincinnati/Dayton,Weekly,31/01/2021 00:00,Organic,1.783293024,16632.25,492.84,2290.84,0,3159.32,2742.82,416.51,0,10689.26
Columbus,Weekly,31/01/2021 00:00,Organic,1.689680906,10442.06,704.52,961.46,0,3612.64,3198.8,413.83,0,5163.44
Dallas/Ft. Worth,Weekly,31/01/2021 00:00,Organic,1.405358271,55654.94,3218.63,1785.57,271.58,31010.74,31007.59,0,3.15,19368.43
Denver,Weekly,31/01/2021 00:00,Organic,1.449037776,41922.04,4068.67,756.38,0,10914.23,10914.23,0,0,26182.76
Detroit,Weekly,31/01/2021 00:00,Organic,1.323463664,24547.47,414.22,2365.8,0,13643.31,13643.31,0,0,8124.14
Grand Rapids,Weekly,31/01/2021 00:00,Organic,1.135674807,9724.34,38.03,1012.4,0,8673.91,8595.53,0,0,0
Harrisburg/Scranton,Weekly,31/01/2021 00:00,Organic,1.208904821,22477.3,331.44,476.62,0,21664.57,21454.64,0,0,4.68
Hartford/Springfield,Weekly,31/01/2021 00:00,Organic,1.910931015,19666.07,349.42,7556.54,4.42,11720.18,11476.79,0,0,35.51
Houston,Weekly,31/01/2021 00:00,Organic,1.466264807,14712.9,4416.3,459.31,0,3084.64,3084.64,0,0,6752.65
Indianapolis,Weekly,31/01/2021 00:00,Organic,1.57907956,9892.92,163.65,899.44,0,4564.7,3366.71,1197.99,0,4265.13
Jacksonville,Weekly,31/01/2021 00:00,Organic,1.192059859,10022.13,35.7,236.94,0,9674.3,9674.3,0,0,75.2
Las Vegas,Weekly,31/01/2021 00:00,Organic,1.527470096,15243.71,746.69,337.42,0,6421.67,6421.67,0,0,7737.93
Los Angeles,Weekly,31/01/2021 00:00,Organic,1.533387774,145683.14,7297.65,2690.67,2.8,51197.48,49253.93,1940.4,3.15,84494.54
Louisville,Weekly,31/01/2021 00:00,Organic,1.714314338,5775.18,6.11,668.59,0,1235.91,1141.93,93.98,0,3864.56
Miami/Ft. Lauderdale,Weekly,31/01/2021 00:00,Organic,1.081356156,43154.67,226.07,0,0,41876.57,41426.12,0,450.45,1052.02
Nashville,Weekly,31/01/2021 00:00,Organic,1.499032619,16393.63,33.9,1371.88,0,7010.98,7010.98,0,0,7976.87
Northern New England,Weekly,31/01/2021 00:00,Organic,1.457145682,34852.63,105.82,646.16,0,32218.17,32172.39,0,0,1882.48
New Orleans/Mobile,Weekly,31/01/2021 00:00,Organic,1.015756257,13207.72,108.45,77.27,0,12700.06,10487.89,2212.17,0,321.94
New York,Weekly,31/01/2021 00:00,Organic,1.566471586,135289.27,11847.73,8073.56,107.5,107916.5,98605.23,0,0,7343.97
Orlando,Weekly,31/01/2021 00:00,Organic,1.077713372,26335.36,97.43,0,0,26070.48,24533.28,0,1537.2,167.45
Peoria/Springfield,Weekly,31/01/2021 00:00,Organic,1.566818712,3849.89,6.78,355.66,0,2378.03,2378.03,0,0,1109.43
Philadelphia,Weekly,31/01/2021 00:00,Organic,1.564609972,32050.09,1621.85,2425.13,0,24618.77,22257.57,0,0,3384.34
Phoenix/Tucson,Weekly,31/01/2021 00:00,Organic,1.3148988,29461.83,1854.43,1039.04,0,15557.39,15529.5,0,0,11010.97
Pittsburgh,Weekly,31/01/2021 00:00,Organic,1.324980664,13157.47,2136.76,4.27,0,10020.09,10020.09,0,0,996.34
Portland,Weekly,31/01/2021 00:00,Organic,1.85040145,39389.47,719.65,8355.24,0,5477.46,4767.92,0,0,24837.12
Providence,Weekly,31/01/2021 00:00,Organic,1.907881928,5160.6,19.39,11.71,0,5124.31,5113.28,0,0,5.2
Raleigh/Greensboro,Weekly,31/01/2021 00:00,Organic,1.418761469,24848.77,727.68,3496.51,97.61,9011.55,9011.55,0,0,11515.42
Richmond/Norfolk,Weekly,31/01/2021 00:00,Organic,0.980274383,32873.94,12.09,1455.05,3.28,26667.74,26664.59,0,3.15,4735.79
Roanoke,Weekly,31/01/2021 00:00,Organic,1.132502694,14747.56,3.08,1328.22,0,9270.75,9270.75,0,0,4145.51
Sacramento,Weekly,31/01/2021 00:00,Organic,1.74079471,23264.56,3054.64,2798.09,0,14190.33,13102.37,0,0,3221.51
San Diego,Weekly,31/01/2021 00:00,Organic,1.407098576,35569.59,1188.89,1251.68,0,15545.26,15232.03,0,0,17583.76
San Francisco,Weekly,31/01/2021 00:00,Organic,1.787143083,83877.53,2775.6,6492.86,5.38,56272.02,48242.64,0,0,18331.67
Seattle,Weekly,31/01/2021 00:00,Organic,1.794717855,82568.82,1511.01,9434.35,0,17045.68,11910.15,0,0,54577.78
South Carolina,Weekly,31/01/2021 00:00,Organic,1.410942716,25589.47,744.15,2622.63,67.91,13873.3,13873.3,0,0,8281.47
Spokane,Weekly,31/01/2021 00:00,Organic,1.783266189,7558.32,150.4,1067.44,0,869.66,869.66,0,0,5470.82
St. Louis,Weekly,31/01/2021 00:00,Organic,1.837837749,6373.83,664.94,885.91,0,3476.75,3476.75,0,0,1346.23
Syracuse,Weekly,31/01/2021 00:00,Organic,1.475007311,5001.5,236.98,140.29,0,4549.75,4526.4,0,0,74.48
Tampa,Weekly,31/01/2021 00:00,Organic,0.922318387,25404.77,81.94,0,0,25150.27,25150.27,0,0,172.57
Toledo,Weekly,31/01/2021 00:00,Organic,1.523311264,4507.53,67.64,462.82,0,2145.05,2073.36,71.69,0,1832.02
West Tex/New Mexico,Weekly,31/01/2021 00:00,Organic,1.129514634,30505.73,576.01,799.8,1775.49,22316.7,22316.7,0,0,5037.73
Wichita,Weekly,31/01/2021 00:00,Organic,1.374142536,2941.26,360.2,9.82,0,965.08,965.08,0,0,1606.16
California,Weekly,31/01/2021 00:00,Organic,1.601993396,356459.66,19163.32,20767.1,11.69,174320.62,152694.2,1940.4,6.3,142196.94
Great Lakes,Weekly,31/01/2021 00:00,Organic,1.476034814,205883.31,5730.21,19057.71,0,107679.36,104479.41,3100.99,0,73416.03
Midsouth,Weekly,31/01/2021 00:00,Organic,1.285322189,280072.17,2298.42,23065.09,217.52,185935.51,185453.78,128.51,3.15,68555.64
Northeast,Weekly,31/01/2021 00:00,Organic,1.555845649,357446.94,19404.6,24557.89,115.76,297765.38,284258.71,0,0,15603.3
Plains,Weekly,31/01/2021 00:00,Organic,1.394291227,46539.82,7258.01,2044.52,24.09,31146.67,30623.04,503.32,0,6066.53
South Central,Weekly,31/01/2021 00:00,Organic,1.319951479,157044.33,11270.55,9085.55,1871.85,101593.04,99993.97,1592.77,6.3,33223.33
Southeast,Weekly,31/01/2021 00:00,Organic,1.196895914,228260.65,1536.96,8178.98,74.86,182743.81,178184.34,1825.28,2734.2,35726.04
West,Weekly,31/01/2021 00:00,Organic,1.596635015,339916,14938.2,30123.37,928.69,102888.21,95332.03,0,0,191037.54
Total U.S.,Weekly,31/01/2021 00:00,Organic,1.460299133,1971622.88,81600.27,136880.2,3244.45,1184072.59,1131019.48,9091.26,2749.95,565825.36
Albany,Weekly,07/02/2021 00:00,Conventional,1.014520084,201353.32,8623.36,164185.03,27.9,24534.48,22502.81,1804.95,0,3982.55
Atlanta,Weekly,07/02/2021 00:00,Conventional,0.853505768,959687.21,370512.24,48983.47,37.77,207374.1,188319.92,14017.5,2123.83,332779.63
Baltimore/Washington,Weekly,07/02/2021 00:00,Conventional,1.074258923,1203037.84,286144.83,334259.58,3833.17,484721.54,450787.16,34.65,21328.65,94078.72
Birmingham/Montgomery,Weekly,07/02/2021 00:00,Conventional,0.793966916,450844.16,216844.25,15182.14,14.01,125835.34,111302.47,11957.4,2168.2,92968.43
Boise,Weekly,07/02/2021 00:00,Conventional,0.925279004,153973.01,38976.88,10239.85,1022.14,30685.82,23791.2,9.45,425.24,73048.32
Boston,Weekly,07/02/2021 00:00,Conventional,1.208874819,833647.73,17931.79,472262.42,185.48,187797,166925.38,20196.98,0,155471.04
Buffalo/Rochester,Weekly,07/02/2021 00:00,Conventional,1.042633614,234218.56,40127.34,67014.68,2296.07,119697.43,115365.97,3408.3,825.3,5083.05
Charlotte,Weekly,07/02/2021 00:00,Conventional,0.865088836,507977.11,216216.27,61942.92,4014.19,199453.41,169076.9,14974.05,0,26350.31
Chicago,Weekly,07/02/2021 00:00,Conventional,0.822218362,1312463.23,187732.61,237591.5,36074.9,244791.54,229125.57,2214.45,12637.22,606272.69
Cincinnati/Dayton,Weekly,07/02/2021 00:00,Conventional,0.818077466,359761.77,64268.23,75312.3,649.75,33958.44,26601.89,374.85,5266.11,185573.06
Columbus,Weekly,07/02/2021 00:00,Conventional,0.793572477,303016.99,57803.37,58761.49,263.02,43136.09,35816.13,3.15,6049.54,143053.02
Dallas/Ft. Worth,Weekly,07/02/2021 00:00,Conventional,0.662098651,2045403.94,630568.24,221864.15,29745.35,636796.92,548967.55,32244.45,53383.77,526429.28
Denver,Weekly,07/02/2021 00:00,Conventional,0.893580212,1348337.38,247833.61,133238.78,2467.11,299597.41,243852.76,19730.49,14475.9,665200.46
Detroit,Weekly,07/02/2021 00:00,Conventional,0.767843012,638213.76,123325.17,108660.37,116877.22,86750.87,79064.87,9.45,5997.94,202600.12
Grand Rapids,Weekly,07/02/2021 00:00,Conventional,0.845234015,305169.76,36081.66,98638.01,116052.58,24808.73,21388.05,6.3,3414.38,29588.78
Harrisburg/Scranton,Weekly,07/02/2021 00:00,Conventional,0.979850051,441391.92,163276.59,124413.94,150.94,139444.07,128711.61,6624.45,3858.75,14106.39
Hartford/Springfield,Weekly,07/02/2021 00:00,Conventional,1.105453711,485282.35,11933.98,359631.44,294.59,105190.63,100068.55,4570.65,0,8231.71
Houston,Weekly,07/02/2021 00:00,Conventional,0.664390018,1441645.93,557985.98,252439.55,2635.78,241404.15,216255.12,56.7,23508.88,387180.47
Indianapolis,Weekly,07/02/2021 00:00,Conventional,0.763571818,320739.26,64760.14,94985.68,819,54757.31,45080.61,4844.7,3807.41,105417.12
Jacksonville,Weekly,07/02/2021 00:00,Conventional,0.78516545,341645.79,156806.73,15804.21,133.94,98945.94,92903.47,5964.92,0,69954.97
Las Vegas,Weekly,07/02/2021 00:00,Conventional,0.862662664,507120.63,72890.07,43754.19,2328.23,141837.33,119047.78,6.3,9915.35,246310.81
Los Angeles,Weekly,07/02/2021 00:00,Conventional,0.902651654,4461087.4,797000.43,64272.33,245148.09,1113245.16,1013335.06,28863.45,46891.04,2241421.38
Louisville,Weekly,07/02/2021 00:00,Conventional,0.794024552,157240.68,24057.17,24910.78,62.49,36515.59,31159.69,4054.44,533.59,71694.65
Miami/Ft. Lauderdale,Weekly,07/02/2021 00:00,Conventional,0.854019374,1315716.59,705985.61,55962.02,75.61,304465.46,277728.61,2577.88,23766.75,249227.88
Nashville,Weekly,07/02/2021 00:00,Conventional,0.847322657,358969.13,121112.57,22331.93,195.89,88072.58,76282.79,7388.06,2404.64,127256.16
Northern New England,Weekly,07/02/2021 00:00,Conventional,0.879488582,737615.85,15970.1,569085.96,111.1,76273.97,64112.73,12006.36,0,76174.72
New Orleans/Mobile,Weekly,07/02/2021 00:00,Conventional,0.65080802,448331,183437.98,31567.13,68.29,167785.89,149799.55,3915.45,13970.25,65471.72
New York,Weekly,07/02/2021 00:00,Conventional,1.038053075,2597823.88,76331.42,1597485.89,782.85,829330.9,815152.34,11790.45,0,93892.81
Orlando,Weekly,07/02/2021 00:00,Conventional,0.808193759,800268.06,339370.26,23871.78,25.34,246888.76,226841.77,7793.63,12080.25,190111.93
Peoria/Springfield,Weekly,07/02/2021 00:00,Conventional,0.730537471,182449.76,55896.08,41549.1,491.81,39798.28,32485.65,3734.72,3301.73,44714.49
Philadelphia,Weekly,07/02/2021 00:00,Conventional,0.986658578,768212.49,134928.55,292328.82,330.72,273345.35,262757.5,7352.1,680.4,67279.06
Phoenix/Tucson,Weekly,07/02/2021 00:00,Conventional,0.651027118,1746285.3,432626,261364.34,6247.62,198499.42,149618.44,20.4,36784.24,847547.92
Pittsburgh,Weekly,07/02/2021 00:00,Conventional,0.934898509,165811.47,47327.21,14712.85,38.76,44244.31,39637.72,6.3,4567.5,59488.34
Portland,Weekly,07/02/2021 00:00,Conventional,0.915888955,879086.15,124627.38,93188.76,5468.16,97252.89,87070.77,5994.06,2405.4,558548.95
Providence,Weekly,07/02/2021 00:00,Conventional,1.351721529,108399.87,3479.58,62796.36,20.33,19900.8,17176.29,2608.29,0,22202.81
Raleigh/Greensboro,Weekly,07/02/2021 00:00,Conventional,0.823331997,649630.95,293473.54,92198.82,4043.33,236921.65,194239.26,16280.25,0,22993.61
Richmond/Norfolk,Weekly,07/02/2021 00:00,Conventional,0.828370492,427445.58,141949.24,81379.23,838.7,108547.7,78666.16,189.53,12377.66,94730.71
Roanoke,Weekly,07/02/2021 00:00,Conventional,0.825245634,245511.88,87286.43,34375.66,58.89,51691.77,36942.91,3368.93,5059.02,72099.13
Sacramento,Weekly,07/02/2021 00:00,Conventional,1.034439507,728024.32,163384.22,256718.27,5353.81,126972.1,110671.79,18.9,0,175595.93
San Diego,Weekly,07/02/2021 00:00,Conventional,0.968731854,791508.1,123875.11,32639.27,26535.89,260761.24,249280.67,6914.25,3757.54,347696.59
San Francisco,Weekly,07/02/2021 00:00,Conventional,0.997302078,1259139.4,211841.36,251189.54,8386.35,187369.04,133680.53,12.6,0,600353.11
Seattle,Weekly,07/02/2021 00:00,Conventional,1.108488712,711265.26,79597.6,90715.36,288.77,73495.93,64555.87,4552.54,2312.91,467167.6
South Carolina,Weekly,07/02/2021 00:00,Conventional,0.866387015,668187.43,284364.49,64061.71,1262.19,197565.47,161048.7,23251.59,874.28,120933.57
Spokane,Weekly,07/02/2021 00:00,Conventional,0.940498096,103589,18900.46,15241.87,70.69,14982.05,12707.46,2018.76,0,54393.94
St. Louis,Weekly,07/02/2021 00:00,Conventional,0.763130423,323959.17,155849.71,12660.91,68.7,81608.54,73722.19,7386.75,0,73771.31
Syracuse,Weekly,07/02/2021 00:00,Conventional,1.040466615,125107.27,14734.23,64193.73,473.59,42527.75,40460.6,1943.55,0,3177.96
Tampa,Weekly,07/02/2021 00:00,Conventional,0.785322996,879113.77,344646.99,32259.78,11.56,241852.09,221067.17,6.3,20497.05,260343.35
Toledo,Weekly,07/02/2021 00:00,Conventional,0.753589119,176114.62,31478.21,37305.74,18060.23,27031.72,21354.64,1039.11,4033.55,62238.71
West Tex/New Mexico,Weekly,07/02/2021 00:00,Conventional,0.636767968,1293155.01,425223.44,220736.09,20915,370817.43,318827.82,6096.22,45094.72,255463.05
Wichita,Weekly,07/02/2021 00:00,Conventional,0.724636279,143399.94,30407.67,9059.39,10.94,45010.91,40719.28,2359.35,1396.63,58911.02
California,Weekly,07/02/2021 00:00,Conventional,0.950597576,9086736.76,1741609.73,920002.78,319662.95,2105504.09,1841689.34,38934,54055.32,3999957.21
Great Lakes,Weekly,07/02/2021 00:00,Conventional,0.795778642,5534257.18,1027740.44,1232392.68,455599.14,883542.93,770145.93,25548.15,78993.42,1934982
Midsouth,Weekly,07/02/2021 00:00,Conventional,0.887153714,5237336.68,1835316.91,895867.23,15468.46,1645867.16,1376011.83,80402.57,60036.97,844816.92
Northeast,Weekly,07/02/2021 00:00,Conventional,1.037253876,7307710.79,583921.75,4157194.38,6890.89,2012991.66,1913809.6,80603.8,13289.85,546712.11
Plains,Weekly,07/02/2021 00:00,Conventional,0.834592352,2819024.83,830626.15,860114.42,1661.57,764404,617475.89,46263.72,56614,362218.7
South Central,Weekly,07/02/2021 00:00,Conventional,0.649054034,7989053.02,3237871.01,986577.55,199338.38,2033255.84,1737238.93,141699.6,142281.07,1532010.24
Southeast,Weekly,07/02/2021 00:00,Conventional,0.815569313,7322008.82,3250381.88,349526.01,2130.71,1929605.66,1722621.53,97552.48,87046.78,1790364.56
West,Weekly,07/02/2021 00:00,Conventional,0.833757547,9251989.35,1948483.76,1153935.09,32518.46,1624021.72,1302469.32,60874.98,137417.49,4493030.32
Total U.S.,Weekly,07/02/2021 00:00,Conventional,0.852306828,54548117.44,14455951.63,10555610.13,1033270.57,12999193.05,11281462.36,571879.31,629734.91,15504092.06
Albany,Weekly,07/02/2021 00:00,Organic,1.422249845,3662.12,55.23,509.33,0,2963.03,2834.76,0,0,134.52
Atlanta,Weekly,07/02/2021 00:00,Organic,1.556841224,33207.06,60.63,2819.08,0,12637.74,12637.74,0,0,17689.6
Baltimore/Washington,Weekly,07/02/2021 00:00,Organic,1.261594229,82077.22,556.21,3696.01,10.37,74608.89,74537.67,0,0,3205.75
Birmingham/Montgomery,Weekly,07/02/2021 00:00,Organic,1.119801903,12015.2,87.49,245.42,0,10767.46,8723.59,2043.87,0,914.84
Boise,Weekly,07/02/2021 00:00,Organic,1.313120002,8965.94,13.73,1033.09,0,1482.6,1482.6,0,0,6436.51
Boston,Weekly,07/02/2021 00:00,Organic,1.631782811,47702.02,231.25,2279.37,0,43882.93,43774.92,0,0,1308.46
Buffalo/Rochester,Weekly,07/02/2021 00:00,Organic,1.528490028,18962.47,1043.13,127.99,4.45,17786.9,17786.9,0,0,0
Charlotte,Weekly,07/02/2021 00:00,Organic,1.372368077,18517.93,80.76,2993.5,35.72,7497.44,7497.44,0,0,7910.51
Chicago,Weekly,07/02/2021 00:00,Organic,1.249928393,118455.46,1425.72,16353.7,0,23550.29,23236.34,310.8,3.15,77125.75
Cincinnati/Dayton,Weekly,07/02/2021 00:00,Organic,1.553558637,17290.65,405.48,2524.15,0,3460.65,2991.23,469.42,0,10900.36
Columbus,Weekly,07/02/2021 00:00,Organic,1.549503482,10799.98,738.63,1038.66,0,3424.87,3091.8,333.08,0,5597.82
Dallas/Ft. Worth,Weekly,07/02/2021 00:00,Organic,1.387204427,48757.33,3078.79,721.37,268.77,30900.12,30893.82,0,6.3,13788.28
Denver,Weekly,07/02/2021 00:00,Organic,1.273182964,46951.69,4907.24,1011.96,0,11119.63,11119.63,0,0,29912.86
Detroit,Weekly,07/02/2021 00:00,Organic,1.199209814,24774.42,376.38,2399.18,0,13436.85,13406.63,30.21,0,8562.01
Grand Rapids,Weekly,07/02/2021 00:00,Organic,1.16471484,7439.97,21.03,948.84,0,6470.11,6422.18,6.7,0,0
Harrisburg/Scranton,Weekly,07/02/2021 00:00,Organic,1.218078437,22438.12,342.66,520.79,0,21554.38,21389.3,0,0,20.29
Hartford/Springfield,Weekly,07/02/2021 00:00,Organic,1.689144326,26354.95,434.17,6898.12,0,18919.04,18504.9,0,0,103.63
Houston,Weekly,07/02/2021 00:00,Organic,1.473176531,13331.23,3787.8,106,0,3045.13,3045.13,0,0,6392.3
Indianapolis,Weekly,07/02/2021 00:00,Organic,1.445155412,9490.12,92.09,840.98,0,4435.18,3185.92,1249.27,0,4121.87
Jacksonville,Weekly,07/02/2021 00:00,Organic,1.072719145,10449.58,40.09,220.06,0,10076.52,10070.22,0,6.3,112.91
Las Vegas,Weekly,07/02/2021 00:00,Organic,1.491859523,15658.08,620.94,344.17,0,6931.18,6931.18,0,0,7761.78
Los Angeles,Weekly,07/02/2021 00:00,Organic,1.721222324,145140.69,6300.54,2558.93,7,53564.18,52161.38,1402.8,0,82710.04
Louisville,Weekly,07/02/2021 00:00,Organic,1.717918995,6171.46,2.84,756.31,0,1520.66,1352.82,167.84,0,3891.64
Miami/Ft. Lauderdale,Weekly,07/02/2021 00:00,Organic,1.024367808,57685.85,483.24,7.96,0,43121.61,43121.61,0,0,14073.04
Nashville,Weekly,07/02/2021 00:00,Organic,1.541529951,16900.93,21.5,1540.61,0,6953.19,6953.19,0,0,8385.64
Northern New England,Weekly,07/02/2021 00:00,Organic,1.552478142,19335.5,61.24,624.18,0,16841.59,16804.31,0,0,1808.49
New Orleans/Mobile,Weekly,07/02/2021 00:00,Organic,0.923299067,15566.53,61.16,33.61,0,15047.02,11470.66,3573.21,3.15,424.73
New York,Weekly,07/02/2021 00:00,Organic,1.541579109,142108.67,10532.31,7519.33,727.39,116790.31,108464.24,0,3.15,6539.33
Orlando,Weekly,07/02/2021 00:00,Organic,1.03251547,27441.67,96.75,0,0,27143.91,27090.36,0,53.55,201
Peoria/Springfield,Weekly,07/02/2021 00:00,Organic,1.410206407,4522.51,13.23,455.21,0,2944.6,2944.6,0,0,1109.47
Philadelphia,Weekly,07/02/2021 00:00,Organic,1.534383359,32901.02,1709.14,2420.57,0,24870.09,22089.74,0,0,3901.22
Phoenix/Tucson,Weekly,07/02/2021 00:00,Organic,1.28998006,32744.18,2851.01,1289.52,0,16385.25,16385.25,0,0,12218.4
Pittsburgh,Weekly,07/02/2021 00:00,Organic,1.325674542,12898.4,2446.66,2.83,0,9695.68,9695.68,0,0,753.22
Portland,Weekly,07/02/2021 00:00,Organic,1.667583798,49675.99,608.51,9729.21,0,5181.9,4584.17,0,3.15,34156.36
Providence,Weekly,07/02/2021 00:00,Organic,1.605844031,7163.09,11.72,26.13,0,7120.05,7074.37,0,0,5.2
Raleigh/Greensboro,Weekly,07/02/2021 00:00,Organic,1.354654546,25569.24,542.56,3483.83,42.3,8809.92,8809.92,0,0,12690.62
Richmond/Norfolk,Weekly,07/02/2021 00:00,Organic,0.957654601,35731.9,12.29,1560.13,1.09,26829.9,26826.75,0,3.15,7328.48
Roanoke,Weekly,07/02/2021 00:00,Organic,1.082115988,15127.96,14.77,1278.5,0,9643.36,9643.36,0,0,4191.32
Sacramento,Weekly,07/02/2021 00:00,Organic,1.698444305,23413.6,2946.29,3434.52,3.72,13706.74,12421.8,0,0,3322.33
San Diego,Weekly,07/02/2021 00:00,Organic,1.755569418,36614.82,951.54,1081.24,0,18299.07,17228.33,0,0,16282.96
San Francisco,Weekly,07/02/2021 00:00,Organic,1.602842494,91408.91,2525.41,7419.44,1.35,59403.94,44220.56,0,0,22058.78
Seattle,Weekly,07/02/2021 00:00,Organic,1.32910629,121751.5,1122.34,16776.33,10.12,14784.92,10904.91,0,0,89057.79
South Carolina,Weekly,07/02/2021 00:00,Organic,1.391877125,23555.91,603.35,2263.5,36.12,11932.59,11932.59,0,0,8720.35
Spokane,Weekly,07/02/2021 00:00,Organic,1.9119158,4210.64,147.11,769.02,0,831.08,831.08,0,0,2463.44
St. Louis,Weekly,07/02/2021 00:00,Organic,1.781503862,6541.35,676.58,845.9,0,3665.16,3665.16,0,0,1353.71
Syracuse,Weekly,07/02/2021 00:00,Organic,1.524467529,4646.35,208.75,174.2,0,4208.58,4180.35,0,0,54.82
Tampa,Weekly,07/02/2021 00:00,Organic,0.832369607,29800.18,93.94,0,0,29507.79,29507.79,0,0,198.45
Toledo,Weekly,07/02/2021 00:00,Organic,1.351319768,4892.15,43.9,587.99,0,2242.73,2164.22,78.52,0,2017.53
West Tex/New Mexico,Weekly,07/02/2021 00:00,Organic,1.102399285,33642.69,1307.72,825.33,2185.84,22656.9,22656.9,0,0,6666.9
Wichita,Weekly,07/02/2021 00:00,Organic,1.388579918,3153.77,372.97,27.34,0,1002.36,1002.36,0,0,1751.1
California,Weekly,07/02/2021 00:00,Organic,1.65956891,368847.43,17161.35,22866.88,15.15,186223.15,152416.53,1402.8,0,142580.9
Great Lakes,Weekly,07/02/2021 00:00,Organic,1.31632422,252031.91,7023.63,30479.7,0,90495.86,87478.4,2961.97,3.15,124032.73
Midsouth,Weekly,07/02/2021 00:00,Organic,1.266544248,282898.28,2115.92,23388.44,124.76,179075.62,178484.33,133.12,3.15,78193.54
